template_id,question,sql_query
SQL_002,Who managed the fewest points in one playoff outing for the Celtics?,SELECT PLAYER_NAME FROM boxscores WHERE TEAM_ABBREVIATION = 'BOS' ORDER BY PTS ASC LIMIT 1;
SQL_003,What is the average points scored per game in the playoffs?,SELECT AVG(PTS) FROM boxscores
SQL_003,"On average, how many points are put up in a playoff game?",SELECT AVG(PTS) FROM boxscores
SQL_003,What's the mean point total across all playoff game performances?,SELECT AVG(PTS) FROM boxscores
SQL_003,"Across the postseason, what's the average points in a game?",SELECT AVG(PTS) FROM boxscores
SQL_003,What's the typical point total in a single playoff game performance?,SELECT AVG(PTS) FROM boxscores
SQL_003,How many points does the average playoff game outing produce?,SELECT AVG(PTS) FROM boxscores
SQL_003,What is the overall average for points scored per playoff game?,SELECT AVG(PTS) FROM boxscores
SQL_003,"On the whole, what's the average scoring output per playoff game?",SELECT AVG(PTS) FROM boxscores
SQL_004,What is a given player's average points per playoff game?,SELECT AVG(points) FROM player_stats WHERE player_name = ?;
SQL_004,How many points does a particular player average in the playoffs?,SELECT AVG(points) FROM player_stats WHERE player_name = ?;
SQL_004,"For a specified player, what's their postseason scoring average?",SELECT AVG(points) FROM player_stats WHERE player_name = ?;
SQL_004,What's the per-game scoring average for a chosen player in the playoffs?,SELECT AVG(points) FROM player_stats WHERE player_name = ?;
SQL_004,"On average, how many points does a certain player score in the postseason?",SELECT AVG(points) FROM player_stats WHERE player_name = ?;
SQL_004,What is the mean point total for a given player in the playoffs?,SELECT AVG(points) FROM player_stats WHERE player_name = ?;
SQL_004,What's a particular player's average scoring output this postseason?,SELECT AVG(points) FROM player_stats WHERE player_name = ?;
SQL_004,How many points per playoff game does a selected player put up?,SELECT AVG(points) FROM player_stats WHERE player_name = ?;
SQL_005,How many playoff games have the Celtics won?,SELECT COUNT(*) FROM games WHERE winner = 'Boston Celtics';
SQL_005,How many playoff wins do the Celtics have?,SELECT COUNT(*) FROM games WHERE winner = 'Boston Celtics';
SQL_005,What's Boston's total playoff win count?,SELECT COUNT(*) FROM games WHERE winner = 'Boston Celtics';
SQL_005,How many times have the Celtics come away with a win this postseason?,SELECT COUNT(*) FROM games WHERE winner = 'Boston Celtics';
SQL_005,What is the number of playoff victories for the Celtics?,SELECT COUNT(*) FROM games WHERE winner = 'Boston Celtics';
SQL_005,How many playoff games did Boston win?,SELECT COUNT(*) FROM games WHERE winner = 'Boston Celtics';
SQL_005,What's the Celtics' total number of postseason wins?,SELECT COUNT(*) FROM games WHERE winner = 'Boston Celtics';
SQL_005,How many W's have the Celtics racked up in the playoffs?,SELECT COUNT(*) FROM games WHERE winner = 'Boston Celtics';
SQL_006,Who won a particular playoff game?,SELECT winner FROM games WHERE game_id = num
SQL_006,Which team came out on top in a given playoff game?,SELECT winner FROM games WHERE game_id = num
SQL_006,"For a specific playoff matchup, who was the winner?",SELECT winner FROM games WHERE game_id = num
SQL_006,Who took the win in that playoff game?,SELECT winner FROM games WHERE game_id = num
SQL_006,Which team won a certain playoff game?,SELECT winner FROM games WHERE game_id = num
SQL_006,Who was victorious in a specified playoff game?,SELECT winner FROM games WHERE game_id = num
SQL_006,Which side won a given postseason contest?,SELECT winner FROM games WHERE game_id = num
SQL_006,Who got the win in a particular playoff matchup?,SELECT winner FROM games WHERE game_id = num
SQL_007,How many playoff games have the Celtics lost?,SELECT COUNT(*) FROM games WHERE loser = 'Boston Celtics';
SQL_007,How many playoff losses do the Celtics have?,SELECT COUNT(*) FROM games WHERE loser = 'Boston Celtics';
SQL_007,What's Boston's total playoff loss count?,SELECT COUNT(*) FROM games WHERE loser = 'Boston Celtics';
SQL_007,How many times have the Celtics come up short this postseason?,SELECT COUNT(*) FROM games WHERE loser = 'Boston Celtics';
SQL_007,What is the number of playoff defeats for the Celtics?,SELECT COUNT(*) FROM games WHERE loser = 'Boston Celtics';
SQL_007,How many playoff games did Boston lose?,SELECT COUNT(*) FROM games WHERE loser = 'Boston Celtics';
SQL_007,What's the Celtics' total number of postseason losses?,SELECT COUNT(*) FROM games WHERE loser = 'Boston Celtics';
SQL_007,How many L's have the Celtics taken in the playoffs?,SELECT COUNT(*) FROM games WHERE loser = 'Boston Celtics';
SQL_008,Which team lost a particular playoff game?,SELECT CASE WHEN home_score > away_score THEN away_team ELSE home_team END AS loser FROM games WHERE game_id = num;
SQL_008,Who came up short in a given playoff game?,SELECT CASE WHEN home_score > away_score THEN away_team ELSE home_team END AS loser FROM games WHERE game_id = num;
SQL_008,"For a specific playoff matchup, which team was the loser?",SELECT CASE WHEN home_score > away_score THEN away_team ELSE home_team END AS loser FROM games WHERE game_id = num;
SQL_008,Who took the loss in that playoff game?,SELECT CASE WHEN home_score > away_score THEN away_team ELSE home_team END AS loser FROM games WHERE game_id = num;
SQL_008,Which team lost a certain playoff game?,SELECT CASE WHEN home_score > away_score THEN away_team ELSE home_team END AS loser FROM games WHERE game_id = num;
SQL_008,Who was defeated in a specified playoff game?,SELECT CASE WHEN home_score > away_score THEN away_team ELSE home_team END AS loser FROM games WHERE game_id = num;
SQL_008,Which side fell in a given postseason contest?,SELECT CASE WHEN home_score > away_score THEN away_team ELSE home_team END AS loser FROM games WHERE game_id = num;
SQL_008,Who got the loss in a particular playoff matchup?,SELECT CASE WHEN home_score > away_score THEN away_team ELSE home_team END AS loser FROM games WHERE game_id = num;
SQL_009,Which Celtics player had the highest-scoring game in the playoffs?,SELECT PLAYER_NAME FROM boxscores WHERE TEAM_ABBREVIATION = 'BOS' ORDER BY PTS DESC LIMIT 1;
SQL_009,Who dropped the most points in a playoff game for Boston?,SELECT PLAYER_NAME FROM boxscores WHERE TEAM_ABBREVIATION = 'BOS' ORDER BY PTS DESC LIMIT 1;
SQL_009,"Among the Celtics, who posted the top single-game point total this postseason?",SELECT PLAYER_NAME FROM boxscores WHERE TEAM_ABBREVIATION = 'BOS' ORDER BY PTS DESC LIMIT 1;
SQL_009,Which Boston player lit it up for the most points in a playoff game?,SELECT PLAYER_NAME FROM boxscores WHERE TEAM_ABBREVIATION = 'BOS' ORDER BY PTS DESC LIMIT 1;
SQL_009,Who scored the most points in a single playoff game for the Celtics?,SELECT PLAYER_NAME FROM boxscores WHERE TEAM_ABBREVIATION = 'BOS' ORDER BY PTS DESC LIMIT 1;
SQL_009,Which Boston player recorded their biggest scoring night of the playoffs?,SELECT PLAYER_NAME FROM boxscores WHERE TEAM_ABBREVIATION = 'BOS' ORDER BY PTS DESC LIMIT 1;
SQL_009,Name the Boston player with the highest point total in a playoff game.,SELECT PLAYER_NAME FROM boxscores WHERE TEAM_ABBREVIATION = 'BOS' ORDER BY PTS DESC LIMIT 1;
SQL_009,Who had the largest single-game point haul for the Celtics in the postseason?,SELECT PLAYER_NAME FROM boxscores WHERE TEAM_ABBREVIATION = 'BOS' ORDER BY PTS DESC LIMIT 1;
SQL_010,What is Jayson Tatum's average points per game in the playoffs?,SELECT AVG(PTS) FROM boxscores WHERE PLAYER_NAME = 'Jayson Tatum' AND TEAM_ABBREVIATION = 'BOS';
SQL_010,How many points does Tatum average for Boston this postseason?,SELECT AVG(PTS) FROM boxscores WHERE PLAYER_NAME = 'Jayson Tatum' AND TEAM_ABBREVIATION = 'BOS';
SQL_010,What's Tatum's playoff scoring average in a Celtics uniform?,SELECT AVG(PTS) FROM boxscores WHERE PLAYER_NAME = 'Jayson Tatum' AND TEAM_ABBREVIATION = 'BOS';
SQL_010,"On average, how many points is Tatum putting up for Boston in the playoffs?",SELECT AVG(PTS) FROM boxscores WHERE PLAYER_NAME = 'Jayson Tatum' AND TEAM_ABBREVIATION = 'BOS';
SQL_010,What is Jayson Tatum's mean point total per playoff game with the Celtics?,SELECT AVG(PTS) FROM boxscores WHERE PLAYER_NAME = 'Jayson Tatum' AND TEAM_ABBREVIATION = 'BOS';
SQL_010,How many points per game does Jayson Tatum average for Boston in the postseason?,SELECT AVG(PTS) FROM boxscores WHERE PLAYER_NAME = 'Jayson Tatum' AND TEAM_ABBREVIATION = 'BOS';
SQL_010,What's Tatum's per-game scoring average with the Celtics in the playoffs?,SELECT AVG(PTS) FROM boxscores WHERE PLAYER_NAME = 'Jayson Tatum' AND TEAM_ABBREVIATION = 'BOS';
SQL_010,"On the whole, how many points does Tatum score per playoff game for Boston?",SELECT AVG(PTS) FROM boxscores WHERE PLAYER_NAME = 'Jayson Tatum' AND TEAM_ABBREVIATION = 'BOS';
SQL_011,How many points per game does Jaylen Brown average for Boston in the postseason?,SELECT AVG(PTS) FROM boxscores WHERE PLAYER_NAME = 'Jaylen Brown' AND TEAM_ABBREVIATION = 'BOS';
SQL_011,What's Brown's per-game scoring average with the Celtics in the playoffs?,SELECT AVG(PTS) FROM boxscores WHERE PLAYER_NAME = 'Jaylen Brown' AND TEAM_ABBREVIATION = 'BOS';
SQL_011,"On the whole, how many points does Brown score per playoff game for Boston?",SELECT AVG(PTS) FROM boxscores WHERE PLAYER_NAME = 'Jaylen Brown' AND TEAM_ABBREVIATION = 'BOS';
SQL_011,What's Jaylen Brown's playoff points-per-game average for the Celtics?,SELECT AVG(PTS) FROM boxscores WHERE PLAYER_NAME = 'Jaylen Brown' AND TEAM_ABBREVIATION = 'BOS';
SQL_011,How many points a night does Brown put up for Boston in the postseason?,SELECT AVG(PTS) FROM boxscores WHERE PLAYER_NAME = 'Jaylen Brown' AND TEAM_ABBREVIATION = 'BOS';
SQL_011,What is Brown's average scoring output per playoff game with the Celtics?,SELECT AVG(PTS) FROM boxscores WHERE PLAYER_NAME = 'Jaylen Brown' AND TEAM_ABBREVIATION = 'BOS';
SQL_011,"In the playoffs, what's Jaylen Brown's scoring average for Boston?",SELECT AVG(PTS) FROM boxscores WHERE PLAYER_NAME = 'Jaylen Brown' AND TEAM_ABBREVIATION = 'BOS';
SQL_011,What is Jaylen Brown's average points per game in the playoffs?,SELECT AVG(PTS) FROM boxscores WHERE PLAYER_NAME = 'Jaylen Brown' AND TEAM_ABBREVIATION = 'BOS';
SQL_012,What is Horford's average scoring output per playoff game with the Celtics?,SELECT AVG(PTS) FROM boxscores WHERE PLAYER_NAME = 'Al Horford' AND TEAM_ABBREVIATION = 'BOS';
SQL_012,"In the playoffs, what's Al Horford's scoring average for Boston?",SELECT AVG(PTS) FROM boxscores WHERE PLAYER_NAME = 'Al Horford' AND TEAM_ABBREVIATION = 'BOS';
SQL_012,What is Al Horford's average points per game in the playoffs?,SELECT AVG(PTS) FROM boxscores WHERE PLAYER_NAME = 'Al Horford' AND TEAM_ABBREVIATION = 'BOS';
SQL_012,How many points does Horford average for Boston this postseason?,SELECT AVG(PTS) FROM boxscores WHERE PLAYER_NAME = 'Al Horford' AND TEAM_ABBREVIATION = 'BOS';
SQL_012,What's Horford's playoff scoring average in a Celtics uniform?,SELECT AVG(PTS) FROM boxscores WHERE PLAYER_NAME = 'Al Horford' AND TEAM_ABBREVIATION = 'BOS';
SQL_012,"On average, how many points is Horford putting up for Boston in the playoffs?",SELECT AVG(PTS) FROM boxscores WHERE PLAYER_NAME = 'Al Horford' AND TEAM_ABBREVIATION = 'BOS';
SQL_012,What is Al Horford's mean point total per playoff game with the Celtics?,SELECT AVG(PTS) FROM boxscores WHERE PLAYER_NAME = 'Al Horford' AND TEAM_ABBREVIATION = 'BOS';
SQL_012,How many points per game does Al Horford average for Boston in the postseason?,SELECT AVG(PTS) FROM boxscores WHERE PLAYER_NAME = 'Al Horford' AND TEAM_ABBREVIATION = 'BOS';
SQL_013,"On average, how many points is White putting up for Boston in the playoffs?",SELECT AVG(PTS) FROM boxscores WHERE PLAYER_NAME = 'Derrick White' AND TEAM_ABBREVIATION = 'BOS';
SQL_013,What is Derrick White's mean point total per playoff game with the Celtics?,SELECT AVG(PTS) FROM boxscores WHERE PLAYER_NAME = 'Derrick White' AND TEAM_ABBREVIATION = 'BOS';
SQL_013,How many points per game does Derrick White average for Boston in the postseason?,SELECT AVG(PTS) FROM boxscores WHERE PLAYER_NAME = 'Derrick White' AND TEAM_ABBREVIATION = 'BOS';
SQL_013,What's White's per-game scoring average with the Celtics in the playoffs?,SELECT AVG(PTS) FROM boxscores WHERE PLAYER_NAME = 'Derrick White' AND TEAM_ABBREVIATION = 'BOS';
SQL_013,"On the whole, how many points does White score per playoff game for Boston?",SELECT AVG(PTS) FROM boxscores WHERE PLAYER_NAME = 'Derrick White' AND TEAM_ABBREVIATION = 'BOS';
SQL_013,What's Derrick White's playoff points-per-game average for the Celtics?,SELECT AVG(PTS) FROM boxscores WHERE PLAYER_NAME = 'Derrick White' AND TEAM_ABBREVIATION = 'BOS';
SQL_013,How many points a night does White put up for Boston in the postseason?,SELECT AVG(PTS) FROM boxscores WHERE PLAYER_NAME = 'Derrick White' AND TEAM_ABBREVIATION = 'BOS';
SQL_013,What is White's average scoring output per playoff game with the Celtics?,SELECT AVG(PTS) FROM boxscores WHERE PLAYER_NAME = 'Derrick White' AND TEAM_ABBREVIATION = 'BOS';
SQL_014,What's Jrue Holiday's playoff points-per-game average for the Celtics?,SELECT AVG(PTS) FROM boxscores WHERE PLAYER_NAME = 'Jrue Holiday' AND TEAM_ABBREVIATION = 'BOS';
SQL_014,How many points a night does Holiday put up for Boston in the postseason?,SELECT AVG(PTS) FROM boxscores WHERE PLAYER_NAME = 'Jrue Holiday' AND TEAM_ABBREVIATION = 'BOS';
SQL_014,What is Holiday's average scoring output per playoff game with the Celtics?,SELECT AVG(PTS) FROM boxscores WHERE PLAYER_NAME = 'Jrue Holiday' AND TEAM_ABBREVIATION = 'BOS';
SQL_014,"In the playoffs, what's Jrue Holiday's scoring average for Boston?",SELECT AVG(PTS) FROM boxscores WHERE PLAYER_NAME = 'Jrue Holiday' AND TEAM_ABBREVIATION = 'BOS';
SQL_014,What is Jrue Holiday's average points per game in the playoffs?,SELECT AVG(PTS) FROM boxscores WHERE PLAYER_NAME = 'Jrue Holiday' AND TEAM_ABBREVIATION = 'BOS';
SQL_014,How many points does Holiday average for Boston this postseason?,SELECT AVG(PTS) FROM boxscores WHERE PLAYER_NAME = 'Jrue Holiday' AND TEAM_ABBREVIATION = 'BOS';
SQL_014,What's Holiday's playoff scoring average in a Celtics uniform?,SELECT AVG(PTS) FROM boxscores WHERE PLAYER_NAME = 'Jrue Holiday' AND TEAM_ABBREVIATION = 'BOS';
SQL_014,"On average, how many points is Holiday putting up for Boston in the playoffs?",SELECT AVG(PTS) FROM boxscores WHERE PLAYER_NAME = 'Jrue Holiday' AND TEAM_ABBREVIATION = 'BOS';
SQL_015,How many points does Porzingis average for Boston this postseason?,SELECT AVG(PTS) FROM boxscores WHERE PLAYER_NAME = 'Kristaps Porzingis' AND TEAM_ABBREVIATION = 'BOS';
SQL_015,What's Porzingis's playoff scoring average in a Celtics uniform?,SELECT AVG(PTS) FROM boxscores WHERE PLAYER_NAME = 'Kristaps Porzingis' AND TEAM_ABBREVIATION = 'BOS';
SQL_015,"On average, how many points is Porzingis putting up for Boston in the playoffs?",SELECT AVG(PTS) FROM boxscores WHERE PLAYER_NAME = 'Kristaps Porzingis' AND TEAM_ABBREVIATION = 'BOS';
SQL_015,What is Kristaps Porzingis's mean point total per playoff game with the Celtics?,SELECT AVG(PTS) FROM boxscores WHERE PLAYER_NAME = 'Kristaps Porzingis' AND TEAM_ABBREVIATION = 'BOS';
SQL_015,How many points per game does Kristaps Porzingis average for Boston in the postseason?,SELECT AVG(PTS) FROM boxscores WHERE PLAYER_NAME = 'Kristaps Porzingis' AND TEAM_ABBREVIATION = 'BOS';
SQL_015,What's Porzingis's per-game scoring average with the Celtics in the playoffs?,SELECT AVG(PTS) FROM boxscores WHERE PLAYER_NAME = 'Kristaps Porzingis' AND TEAM_ABBREVIATION = 'BOS';
SQL_015,"On the whole, how many points does Porzingis score per playoff game for Boston?",SELECT AVG(PTS) FROM boxscores WHERE PLAYER_NAME = 'Kristaps Porzingis' AND TEAM_ABBREVIATION = 'BOS';
SQL_015,What's Kristaps Porzingis's playoff points-per-game average for the Celtics?,SELECT AVG(PTS) FROM boxscores WHERE PLAYER_NAME = 'Kristaps Porzingis' AND TEAM_ABBREVIATION = 'BOS';
SQL_016,What's Hauser's per-game scoring average with the Celtics in the playoffs?,SELECT AVG(PTS) FROM boxscores WHERE PLAYER_NAME = 'Sam Hauser' AND TEAM_ABBREVIATION = 'BOS';
SQL_016,"On the whole, how many points does Hauser score per playoff game for Boston?",SELECT AVG(PTS) FROM boxscores WHERE PLAYER_NAME = 'Sam Hauser' AND TEAM_ABBREVIATION = 'BOS';
SQL_016,What's Sam Hauser's playoff points-per-game average for the Celtics?,SELECT AVG(PTS) FROM boxscores WHERE PLAYER_NAME = 'Sam Hauser' AND TEAM_ABBREVIATION = 'BOS';
SQL_016,How many points a night does Hauser put up for Boston in the postseason?,SELECT AVG(PTS) FROM boxscores WHERE PLAYER_NAME = 'Sam Hauser' AND TEAM_ABBREVIATION = 'BOS';
SQL_016,What is Hauser's average scoring output per playoff game with the Celtics?,SELECT AVG(PTS) FROM boxscores WHERE PLAYER_NAME = 'Sam Hauser' AND TEAM_ABBREVIATION = 'BOS';
SQL_016,"In the playoffs, what's Sam Hauser's scoring average for Boston?",SELECT AVG(PTS) FROM boxscores WHERE PLAYER_NAME = 'Sam Hauser' AND TEAM_ABBREVIATION = 'BOS';
SQL_016,What is Sam Hauser's average points per game in the playoffs?,SELECT AVG(PTS) FROM boxscores WHERE PLAYER_NAME = 'Sam Hauser' AND TEAM_ABBREVIATION = 'BOS';
SQL_016,How many points does Hauser average for Boston this postseason?,SELECT AVG(PTS) FROM boxscores WHERE PLAYER_NAME = 'Sam Hauser' AND TEAM_ABBREVIATION = 'BOS';
SQL_017,"In the playoffs, what's Payton Pritchard's scoring average for Boston?",SELECT AVG(PTS) FROM boxscores WHERE PLAYER_NAME = 'Payton Pritchard' AND TEAM_ABBREVIATION = 'BOS';
SQL_017,What is Payton Pritchard's average points per game in the playoffs?,SELECT AVG(PTS) FROM boxscores WHERE PLAYER_NAME = 'Payton Pritchard' AND TEAM_ABBREVIATION = 'BOS';
SQL_017,How many points does Pritchard average for Boston this postseason?,SELECT AVG(PTS) FROM boxscores WHERE PLAYER_NAME = 'Payton Pritchard' AND TEAM_ABBREVIATION = 'BOS';
SQL_017,What's Pritchard's playoff scoring average in a Celtics uniform?,SELECT AVG(PTS) FROM boxscores WHERE PLAYER_NAME = 'Payton Pritchard' AND TEAM_ABBREVIATION = 'BOS';
SQL_017,"On average, how many points is Pritchard putting up for Boston in the playoffs?",SELECT AVG(PTS) FROM boxscores WHERE PLAYER_NAME = 'Payton Pritchard' AND TEAM_ABBREVIATION = 'BOS';
SQL_017,What is Payton Pritchard's mean point total per playoff game with the Celtics?,SELECT AVG(PTS) FROM boxscores WHERE PLAYER_NAME = 'Payton Pritchard' AND TEAM_ABBREVIATION = 'BOS';
SQL_017,How many points per game does Payton Pritchard average for Boston in the postseason?,SELECT AVG(PTS) FROM boxscores WHERE PLAYER_NAME = 'Payton Pritchard' AND TEAM_ABBREVIATION = 'BOS';
SQL_017,What's Pritchard's per-game scoring average with the Celtics in the playoffs?,SELECT AVG(PTS) FROM boxscores WHERE PLAYER_NAME = 'Payton Pritchard' AND TEAM_ABBREVIATION = 'BOS';
SQL_018,What is Luke Kornet's mean point total per playoff game with the Celtics?,SELECT AVG(PTS) FROM boxscores WHERE PLAYER_NAME = 'Luke Kornet' AND TEAM_ABBREVIATION = 'BOS';
SQL_018,How many points per game does Luke Kornet average for Boston in the postseason?,SELECT AVG(PTS) FROM boxscores WHERE PLAYER_NAME = 'Luke Kornet' AND TEAM_ABBREVIATION = 'BOS';
SQL_018,What's Kornet's per-game scoring average with the Celtics in the playoffs?,SELECT AVG(PTS) FROM boxscores WHERE PLAYER_NAME = 'Luke Kornet' AND TEAM_ABBREVIATION = 'BOS';
SQL_018,"On the whole, how many points does Kornet score per playoff game for Boston?",SELECT AVG(PTS) FROM boxscores WHERE PLAYER_NAME = 'Luke Kornet' AND TEAM_ABBREVIATION = 'BOS';
SQL_018,What's Luke Kornet's playoff points-per-game average for the Celtics?,SELECT AVG(PTS) FROM boxscores WHERE PLAYER_NAME = 'Luke Kornet' AND TEAM_ABBREVIATION = 'BOS';
SQL_018,How many points a night does Kornet put up for Boston in the postseason?,SELECT AVG(PTS) FROM boxscores WHERE PLAYER_NAME = 'Luke Kornet' AND TEAM_ABBREVIATION = 'BOS';
SQL_018,What is Kornet's average scoring output per playoff game with the Celtics?,SELECT AVG(PTS) FROM boxscores WHERE PLAYER_NAME = 'Luke Kornet' AND TEAM_ABBREVIATION = 'BOS';
SQL_018,"In the playoffs, what's Luke Kornet's scoring average for Boston?",SELECT AVG(PTS) FROM boxscores WHERE PLAYER_NAME = 'Luke Kornet' AND TEAM_ABBREVIATION = 'BOS';
SQL_019,How many points a night does Brissett put up for Boston in the postseason?,SELECT AVG(PTS) FROM boxscores WHERE PLAYER_NAME = 'Oshae Brissett' AND TEAM_ABBREVIATION = 'BOS';
SQL_019,What is Brissett's average scoring output per playoff game with the Celtics?,SELECT AVG(PTS) FROM boxscores WHERE PLAYER_NAME = 'Oshae Brissett' AND TEAM_ABBREVIATION = 'BOS';
SQL_019,"In the playoffs, what's Oshae Brissett's scoring average for Boston?",SELECT AVG(PTS) FROM boxscores WHERE PLAYER_NAME = 'Oshae Brissett' AND TEAM_ABBREVIATION = 'BOS';
SQL_019,What is Oshae Brissett's average points per game in the playoffs?,SELECT AVG(PTS) FROM boxscores WHERE PLAYER_NAME = 'Oshae Brissett' AND TEAM_ABBREVIATION = 'BOS';
SQL_019,How many points does Brissett average for Boston this postseason?,SELECT AVG(PTS) FROM boxscores WHERE PLAYER_NAME = 'Oshae Brissett' AND TEAM_ABBREVIATION = 'BOS';
SQL_019,What's Brissett's playoff scoring average in a Celtics uniform?,SELECT AVG(PTS) FROM boxscores WHERE PLAYER_NAME = 'Oshae Brissett' AND TEAM_ABBREVIATION = 'BOS';
SQL_019,"On average, how many points is Brissett putting up for Boston in the playoffs?",SELECT AVG(PTS) FROM boxscores WHERE PLAYER_NAME = 'Oshae Brissett' AND TEAM_ABBREVIATION = 'BOS';
SQL_019,What is Oshae Brissett's mean point total per playoff game with the Celtics?,SELECT AVG(PTS) FROM boxscores WHERE PLAYER_NAME = 'Oshae Brissett' AND TEAM_ABBREVIATION = 'BOS';
SQL_020,What's Mykhailiuk's playoff scoring average in a Celtics uniform?,SELECT AVG(PTS) FROM boxscores WHERE PLAYER_NAME = 'Svi Mykhailiuk' AND TEAM_ABBREVIATION = 'BOS';
SQL_020,"On average, how many points is Mykhailiuk putting up for Boston in the playoffs?",SELECT AVG(PTS) FROM boxscores WHERE PLAYER_NAME = 'Svi Mykhailiuk' AND TEAM_ABBREVIATION = 'BOS';
SQL_020,What is Svi Mykhailiuk's mean point total per playoff game with the Celtics?,SELECT AVG(PTS) FROM boxscores WHERE PLAYER_NAME = 'Svi Mykhailiuk' AND TEAM_ABBREVIATION = 'BOS';
SQL_020,How many points per game does Svi Mykhailiuk average for Boston in the postseason?,SELECT AVG(PTS) FROM boxscores WHERE PLAYER_NAME = 'Svi Mykhailiuk' AND TEAM_ABBREVIATION = 'BOS';
SQL_020,What's Mykhailiuk's per-game scoring average with the Celtics in the playoffs?,SELECT AVG(PTS) FROM boxscores WHERE PLAYER_NAME = 'Svi Mykhailiuk' AND TEAM_ABBREVIATION = 'BOS';
SQL_020,"On the whole, how many points does Mykhailiuk score per playoff game for Boston?",SELECT AVG(PTS) FROM boxscores WHERE PLAYER_NAME = 'Svi Mykhailiuk' AND TEAM_ABBREVIATION = 'BOS';
SQL_020,What's Svi Mykhailiuk's playoff points-per-game average for the Celtics?,SELECT AVG(PTS) FROM boxscores WHERE PLAYER_NAME = 'Svi Mykhailiuk' AND TEAM_ABBREVIATION = 'BOS';
SQL_020,How many points a night does Mykhailiuk put up for Boston in the postseason?,SELECT AVG(PTS) FROM boxscores WHERE PLAYER_NAME = 'Svi Mykhailiuk' AND TEAM_ABBREVIATION = 'BOS';
SQL_021,"On the whole, how many points does Queta score per playoff game for Boston?",SELECT AVG(PTS) FROM boxscores WHERE PLAYER_NAME = 'Neemias Queta' AND TEAM_ABBREVIATION = 'BOS';
SQL_021,What's Neemias Queta's playoff points-per-game average for the Celtics?,SELECT AVG(PTS) FROM boxscores WHERE PLAYER_NAME = 'Neemias Queta' AND TEAM_ABBREVIATION = 'BOS';
SQL_021,How many points a night does Queta put up for Boston in the postseason?,SELECT AVG(PTS) FROM boxscores WHERE PLAYER_NAME = 'Neemias Queta' AND TEAM_ABBREVIATION = 'BOS';
SQL_021,What is Queta's average scoring output per playoff game with the Celtics?,SELECT AVG(PTS) FROM boxscores WHERE PLAYER_NAME = 'Neemias Queta' AND TEAM_ABBREVIATION = 'BOS';
SQL_021,"In the playoffs, what's Neemias Queta's scoring average for Boston?",SELECT AVG(PTS) FROM boxscores WHERE PLAYER_NAME = 'Neemias Queta' AND TEAM_ABBREVIATION = 'BOS';
SQL_021,What is Neemias Queta's average points per game in the playoffs?,SELECT AVG(PTS) FROM boxscores WHERE PLAYER_NAME = 'Neemias Queta' AND TEAM_ABBREVIATION = 'BOS';
SQL_021,How many points does Queta average for Boston this postseason?,SELECT AVG(PTS) FROM boxscores WHERE PLAYER_NAME = 'Neemias Queta' AND TEAM_ABBREVIATION = 'BOS';
